n,ell,p,degree_sequence,delta_sq,delta,family,crippen_logp
12,5,7,"(3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)",16,4.000000,general,4.4949
12,4,8,"(3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",18,4.242641,general,4.6390
12,3,9,"(3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",22,4.690416,general,4.7831
12,2,10,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",28,5.291503,general,4.9272
13,9,4,"(4, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.7409
13,8,5,"(4, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.8850
13,8,5,"(4, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",8,2.828427,general,4.7409
13,7,6,"(4, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.8850
13,6,7,"(4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.0291
13,8,5,"(4, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.5968
13,7,6,"(4, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.7409
13,6,7,"(4, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",14,3.741657,general,4.8850
13,5,8,"(4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",16,4.000000,general,5.0291
13,4,9,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",20,4.472136,general,5.1732
13,7,6,"(3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",14,3.741657,general,4.5968
13,6,7,"(3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",16,4.000000,general,4.7409
13,5,8,"(3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",20,4.472136,general,4.8850
13,4,9,"(3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",22,4.690416,general,5.0291
13,3,10,"(3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",26,5.099020,general,5.1732
13,2,11,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",32,5.656854,general,5.3173
14,10,4,"(4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.1310
14,9,5,"(4, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,5.1310
14,8,6,"(4, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.2751
14,9,5,"(4, 4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,4.9869
14,8,6,"(4, 4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,5.1310
14,7,7,"(4, 4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",14,3.741657,general,5.2751
14,6,8,"(4, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",16,4.000000,general,5.4192
14,8,6,"(4, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,4.9869
14,7,7,"(4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",14,3.741657,general,5.1310
14,6,8,"(4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",18,4.242641,general,5.2751
14,5,9,"(4, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",20,4.472136,general,5.4192
14,4,10,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",24,4.898979,general,5.5633
14,8,6,"(3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",18,4.242641,general,4.8428
14,7,7,"(3, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",18,4.242641,general,4.9869
14,6,8,"(3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",20,4.472136,general,5.1310
14,5,9,"(3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",24,4.898979,general,5.2751
14,4,10,"(3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",26,5.099020,general,5.4192
14,3,11,"(3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",30,5.477226,general,5.5633
14,2,12,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",36,6.000000,general,5.7074
15,10,5,"(4, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.5211
15,10,5,"(4, 4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,3.162278,general,5.3770
15,9,6,"(4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.5211
15,8,7,"(4, 4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",16,4.000000,general,5.6652
15,9,6,"(4, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",12,3.464102,general,5.3770
15,8,7,"(4, 4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",14,3.741657,general,5.5211
15,7,8,"(4, 4, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",18,4.242641,general,5.6652
15,6,9,"(4, 4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",20,4.472136,general,5.8093
15,9,6,"(4, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",16,4.000000,general,5.2329
15,8,7,"(4, 3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",16,4.000000,general,5.3770
15,7,8,"(4, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",18,4.242641,general,5.5211
15,6,9,"(4, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",22,4.690416,general,5.6652
15,5,10,"(4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",24,4.898979,general,5.8093
15,4,11,"(4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",28,5.291503,general,5.9534
15,8,7,"(3, 3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",22,4.690416,general,5.2329
15,7,8,"(3, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",22,4.690416,general,5.3770
15,6,9,"(3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",24,4.898979,general,5.5211
15,5,10,"(3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",28,5.291503,general,5.6652
15,4,11,"(3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",30,5.477226,general,5.8093
15,3,12,"(3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",34,5.830952,general,5.9534
15,2,13,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",40,6.324555,general,6.0975
